myday;pm25;pm10;tmp;rh;rain;radsolar;co2;pressure;ws;no2;co;so2;o3
2021-02-08;17,48639911;36,23137259;15,81166667;62,29618789;0,056060606;184,8228261;530,8333333;563,3315217;1,312977602;21,01396146;0,976102029;5,547107652;16,74727281
2021-02-09;25,21379092;39,7308439;15,24541667;68,48619048;0,264772727;135,4916667;537,6666667;563,2222222;1,026704545;27,17172233;1,067842877;4,858862306;20,60438898
2021-02-10;18,19187421;29,12395934;15,52333333;69,93470238;0,378409091;227,3833333;499,4444444;562,9166667;1,38719697;20,09244507;0,859491799;3,601774844;21,76510997
2021-02-11;21,15733463;38,64375138;16,10208333;64,08440476;0,01969697;283,2954545;441,4444444;562,3030303;1,493767218;20,45661287;0,895011692;3,646126736;28,63873293
2021-02-12;27,17651732;49,08478186;14,9125;67,41988095;0,085984848;148,525;529,1176471;562,4166667;1,343939394;25,83441106;0,989619784;4,378136175;21,27557948
2021-02-13;17,12644131;30,64711084;15,31018939;60,82107143;0;215,1833333;544,7083333;563,0416667;1,63887741;19,51131464;0,83974512;3,078204021;23,52526936
2021-02-14;23,209267;38,98537887;14,01375;71,20708333;0,466666667;153,2333333;589,125;563,8611111;0,945580808;24,9363432;0,990117809;6,570615265;18,70237585
2021-02-15;22,44598029;41,03178587;14,72333333;68,41607143;0,160227273;133,0333333;573,75;564,125;1,0682041;28,30327281;1,223557;6,928682838;11,65983803
2021-02-16;22,76521372;45,87892512;15,06875;66,13297619;0,007575758;258,9416667;568,9166667;563,9027778;1,509469697;24,0920628;1,115020975;4,649833742;23,28471664
2021-02-17;25,1325;47,45774457;14,90208333;64,56636905;0;270,6583333;577,6666667;563,375;1,422348485;24,04579366;1,013216598;6,388000651;26,26912571
2021-02-18;21,09387352;41,86355676;15,80166667;63,9127381;0;205,7166667;524,5833333;563,2638889;1,589015152;23,68563104;0,927439952;7,063923569;26,31052905
2021-02-19;20,61915512;34,3594097;14,97583333;69,67333333;0,051515152;151,975;530,5833333;563,6111111;1,334469697;23,62717308;0,960131136;5,877322884;22,84024778
2021-02-20;19,61319444;36,84203977;14,72791667;67,86982143;0,000378788;138,85;533,7083333;563,5972222;1,264877845;23,27855209;0,95412141;4,762256546;22,90189441
2021-02-21;17,3234623;27,96974381;14,71083333;69,51785714;0,005681818;134,4666667;530,5416667;563,3611111;1,275623886;17,11135164;0,743192427;4,146730922;24,28990257
2021-02-22;13,26847826;27,30686952;14,89;64,48565476;0,003787879;154,5333333;524,5416667;563,0138889;1,858712121;21,38258406;0,811697105;4,96430134;27,29244129
2021-02-23;18,25659142;34,4005176;14,74;60,67113095;0;168,375;556,5833333;563,4166667;1,708333333;20,96379184;0,873454782;4,770031649;25,75815098
2021-02-24;18,52765778;37,00700938;14,95583333;65,33208333;0,006439394;140,6833333;538,8333333;563,4027778;1,50719697;23,29976367;0,956459573;4,105028308;17,00614332
2021-02-25;11,95919226;23,30060592;14,77416667;67,06785714;0,050378788;114,6916667;522,5416667;563,1666667;1,444318182;18,13830205;0,908659222;4,65310705;16,62849011
2021-02-26;18,7275641;32,77594235;15,18416667;68,93755952;0,353409091;184,925;530,875;562,5138889;1,298863636;22,8375864;1,077723502;2,680589669;16,64101514
2021-02-27;20,05636845;33,3921708;14,85125;73,62;0,14469697;121,1833333;561,7916667;562,4027778;1,052651515;31,6764737;1,208264658;3,360645459;15,02914112
2021-02-28;11,96868566;21,43844974;15,7764881;67,79428571;0,000378788;192,3833333;535,25;561,9027778;1,509632035;17,22562147;0,814658599;3,153076924;28,70666244
2021-03-01;14,63141606;27,87900926;14,96211364;71,99863095;0,281143251;176,35;535,7083333;561,5972222;1,446736987;23,79754258;0,974031795;2,847868473;25,83475752
2021-03-02;19,17363098;31,45574847;13,73989035;71,97666667;0,168102073;125,5333333;553,625;562,4166667;1,152740322;29,24586403;1,089314894;2,906243902;24,53482256
2021-03-03;24,57007576;45,65746113;14,63101852;68,56696429;0,034166667;129,8583333;547,2916667;563,1527778;1,179166667;30,32485901;1,149648148;4,413027703;26,95670603
2021-03-04;33,98314902;51,39956098;12,97880952;77,5402381;0,093388858;46,56666667;564,0416667;563,6111111;0,841878576;40,50380114;1,528843257;3,905445723;15,5220614
2021-03-05;31,22752114;50,26816903;13,77375;71,64392857;0,039393939;103,9583333;555,9583333;563,125;1,319800275;32,51379509;1,232551385;4,47594823;24,33288274
2021-03-06;35,33923611;57,36780068;14,63416667;66,87345238;0,035020661;176,5916667;564,1666667;563,1805556;1,318560606;27,69026993;1,166754181;4,393854322;28,00967362
2021-03-07;7,847459925;16,33231011;14,64583333;66,96702381;0,034469697;118,7083333;517,0416667;563,5833333;1,350757576;13,87981661;0,754189606;2,595644747;21,06019558
2021-03-08;9,957688368;19,47526845;15,21992424;53,91202381;0,042114325;173,1666667;522,375;563,9861111;1,559745179;18,02309005;0,790146874;2,563865205;24,71014091
2021-03-09;22,73634259;42,05178085;14,94375;64,55607143;0,229924242;204,5;558,5833333;563,5416667;1,256060606;29,53021874;1,022355547;3,401476948;31,46647162
2021-03-10;17,8925656;32,01155677;14,47875;68,68880952;0,010227273;167,025;556,375;563,2361111;1,512121212;24,3817198;1,012788049;3,170327317;28,46568962
2021-03-11;20,73480633;32,87328857;13,95083333;74,56107143;0,321753247;102,4083333;566,125;563,4027778;1,024747475;29,12425829;1,19501221;3,486719283;18,57773449
2021-03-12;19,24980374;26,68759107;13,22375;77,92255952;0,390736915;114,65;537,7916667;563,875;1,190025253;26,15606616;1,098616121;2,889635484;17,56895939
2021-03-13;20,54404138;31,05683584;13,18041667;72,90440476;0,260497835;133,3166667;547,5833333;564,0833333;0,863884298;28,82125681;1,123694806;2,717193566;20,54705325
2021-03-14;21,41517787;32,92868817;13,56333333;74,16785714;0,328787879;141,65;578,6666667;563,7638889;0,936237374;23,96616121;1,075208091;2,72026322;17,736725
